FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;GPC_DOM;QRESIDUOS_DOM;QRESIDUOS_NO_DOM;QRESIDUOS_MUN;PERIODO
20241212;17555;61303;SIERRA;CAJAMARCA;SANTA CRUZ;CATACHE;9838;1466;8372;0,44;2370,64;101,6;338,66;2023
20241212;17556;61304;SIERRA;CAJAMARCA;SANTA CRUZ;CHANCAYBAÑOS;3330;318;3012;0,44;514,23;22,04;73,46;2023
20241212;17557;61305;SIERRA;CAJAMARCA;SANTA CRUZ;LA ESPERANZA;2213;181;2032;0,44;292,69;12,54;41,81;2023
20241212;17558;61306;SIERRA;CAJAMARCA;SANTA CRUZ;NINABAMBA;1792;223;1569;0,44;360,61;15,45;51,52;2023
20241212;17559;61307;SIERRA;CAJAMARCA;SANTA CRUZ;PULAN;3641;422;3219;0,44;682,41;29,25;97,49;2023
20241212;17560;61308;SIERRA;CAJAMARCA;SANTA CRUZ;SAUCEPAMPA;1268;145;1123;0,44;234,48;10,05;33,5;2023
20241212;17561;61309;SIERRA;CAJAMARCA;SANTA CRUZ;SEXI;419;202;217;0,44;326,65;14;46,66;2023
20241212;17562;61310;SIERRA;CAJAMARCA;SANTA CRUZ;UTICYACU;1160;121;1039;0,44;195,67;8,39;27,95;2023
20241212;17563;61311;SIERRA;CAJAMARCA;SANTA CRUZ;YAUYUCAN;2720;716;2004;0,8;2090,72;89,6;298,67;2023
20241212;17564;70101;LIMA Y CALLAO;CALLAO;CALLAO;CALLAO;535664;535664;0;0,64;1251311,1;53627,62;178758,73;2023
20241212;17565;70102;LIMA Y CALLAO;CALLAO;CALLAO;BELLAVISTA;81656;81656;0;0,8;238435,52;10218,67;34062,22;2023
20241212;17566;70103;LIMA Y CALLAO;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;47327;47327;0;0,8;138194,84;5922,64;19742,12;2023
20241212;17567;70104;LIMA Y CALLAO;CALLAO;CALLAO;LA PERLA;64714;64714;0;0,76;179516,64;7693,57;25645,23;2023
20241212;17568;70105;LIMA Y CALLAO;CALLAO;CALLAO;LA PUNTA;3819;3819;0;0,68;9478,76;406,23;1354,11;2023
20241212;17569;70106;LIMA Y CALLAO;CALLAO;CALLAO;VENTANILLA;401862;401862;0;0,54;792070;33945,86;113152,86;2023
20241212;17570;70107;LIMA Y CALLAO;CALLAO;CALLAO;MI PERU;55818;55818;0;0,46;93718,42;4016,5;13388,35;2023
20241212;17571;80101;SIERRA;CUSCO;CUSCO;CUSCO;119148;115717;3431;0,46;194288,84;8326,66;27755,55;2023
20241212;17572;80102;SIERRA;CUSCO;CUSCO;CCORCA;2410;584;1826;0,44;944,38;40,47;134,91;2023
20241212;17573;80103;SIERRA;CUSCO;CUSCO;POROY;13953;12247;1706;0,47;21009,73;900,42;3001,39;2023
20241212;17574;80104;SIERRA;CUSCO;CUSCO;SAN JERONIMO;77751;75061;2690;0,5;136986,33;5870,84;19569,48;2023
20241212;17575;80105;SIERRA;CUSCO;CUSCO;SAN SEBASTIAN;144460;141968;2492;0,58;300546,26;12880,55;42935,18;2023
20241212;17576;80106;SIERRA;CUSCO;CUSCO;SANTIAGO;106739;104166;2573;0,54;205311,19;8799,05;29330,17;2023
20241212;17577;80107;SIERRA;CUSCO;CUSCO;SAYLLA;9462;5985;3477;0,49;10704,17;458,75;1529,17;2023
20241212;17578;80108;SIERRA;CUSCO;CUSCO;WANCHAQ;61530;61530;0;0,4;89833,8;3850,02;12833,4;2023
20241212;17579;80201;SIERRA;CUSCO;ACOMAYO;ACOMAYO;4523;2710;1813;0,39;3857,69;165,33;551,1;2023
20241212;17580;80202;SIERRA;CUSCO;ACOMAYO;ACOPIA;3121;2034;1087;0,44;3289,15;140,96;469,88;2023
20241212;17581;80203;SIERRA;CUSCO;ACOMAYO;ACOS;2328;1327;1001;0,3;1453,07;62,27;207,58;2023
20241212;17582;80204;SIERRA;CUSCO;ACOMAYO;MOSOC LLACTA;983;523;460;0,44;845,73;36,25;120,82;2023
20241212;17583;80205;SIERRA;CUSCO;ACOMAYO;POMACANCHI;7515;4816;2699;0,45;7910,28;339,01;1130,04;2023
20241212;17584;80206;SIERRA;CUSCO;ACOMAYO;RONDOCAN;1800;1075;725;0,44;1738,36;74,5;248,34;2023
20241212;17585;80207;SIERRA;CUSCO;ACOMAYO;SANGARARA;3362;2524;838;0,23;2118,9;90,81;302,7;2023
20241212;17586;80301;SIERRA;CUSCO;ANTA;ANTA;26918;12690;14228;0,62;28717,47;1230,75;4102,5;2023
20241212;17587;80302;SIERRA;CUSCO;ANTA;ANCAHUASI;7900;3372;4528;0,2;2461,56;105,5;351,65;2023
20241212;17588;80303;SIERRA;CUSCO;ANTA;CACHIMAYO;2854;1888;966;0,26;1791,71;76,79;255,96;2023
20241212;17589;80304;SIERRA;CUSCO;ANTA;CHINCHAYPUJIO;4275;978;3297;0,44;1581,51;67,78;225,93;2023
20241212;17590;80305;SIERRA;CUSCO;ANTA;HUAROCONDO;4486;2117;2369;0,44;3423,36;146,72;489,05;2023
20241212;17591;80306;SIERRA;CUSCO;ANTA;LIMATAMBO;7567;1691;5876;0,8;4937,72;211,62;705,39;2023
20241212;17592;80307;SIERRA;CUSCO;ANTA;MOLLEPATA;3580;1683;1897;0,44;2721,55;116,64;388,79;2023
20241212;17593;80308;SIERRA;CUSCO;ANTA;PUCYURA;3113;1788;1325;0,56;3654,67;156,63;522,1;2023
20241212;17594;80309;SIERRA;CUSCO;ANTA;ZURITE;3762;2008;1754;0,44;3247,1;139,16;463,87;2023
20241212;17595;80401;SIERRA;CUSCO;CALCA;CALCA;23969;14538;9431;0,67;35552,68;1523,69;5078,95;2023
